name,mass,diameter,density,gravity,escapev,rotationperiod,lengthofday,distancefromsun,perihelion,aphelion,orbitperiod,orbitvelocity,orbitinclination,orbiteccentricity,obliquity,temperature,surfacepressure,numberofmoons,ring,magnetic
MERCURY,0.33,4879.00,5427.00,3.70,4.30,1407.60,4222.60,57.90,46.00,69.80,88.00,47.40,7.00,0.21,0.01,167.00,0.00,0.00,No,Yes
VENUS,4.87,12104.00,5243.00,8.90,10.40,-5832.50,2802.00,108.20,107.50,108.90,224.70,35.00,3.40,0.01,177.40,464.00,92.00,0.00,No,No
EARTH,5.97,12756.00,5514.00,9.80,11.20,23.90,24.00,149.60,147.10,152.10,365.20,29.80,0.00,0.02,23.40,15.00,1.00,1.00,No,Yes
MOON,0.07,3475.00,3340.00,1.60,2.40,655.70,708.70,0.38,0.36,0.41,27.30,1.00,5.10,0.06,6.70,-20.00,0.00,0.00,No,No
MARS,0.64,6792.00,3933.00,3.70,5.00,24.60,24.70,227.90,206.60,249.20,687.00,24.10,1.90,0.09,25.20,-65.00,0.01,2.00,No,No
JUPITER,1898.00,142984.00,1326.00,23.10,59.50,9.90,9.90,778.60,740.50,816.60,4331.00,13.10,1.30,0.05,3.10,-110.00,NA,67.00,Yes,Yes
SATURN,568.00,120536.00,687.00,9.00,35.50,10.70,10.70,1433.50,1352.60,1514.50,10747.00,9.70,2.50,0.06,26.70,-140.00,NA,62.00,Yes,Yes
URANUS,86.80,51118.00,1271.00,8.70,21.30,-17.20,17.20,2872.50,2741.30,3003.60,30589.00,6.80,0.80,0.05,97.80,-195.00,NA,27.00,Yes,Yes
NEPTUNE,102.00,49528.00,1638.00,11.00,23.50,16.10,16.10,4495.10,4444.50,4545.70,59800.00,5.40,1.80,0.01,28.30,-200.00,NA,14.00,Yes,Yes
PLUTO,0.01,2370.00,2095.00,0.70,1.30,-153.30,153.30,5906.40,4436.80,7375.90,90560.00,4.70,17.20,0.24,122.50,-225.00,0.00,5.00,No,NA
